Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
175,2.5400000e+00,3.8478264e-01,1.9262424e+00,2.1115975e-03,6.1840378e-03,2.4133261e-02,2.5002310e-02
176,2.5400000e+00,3.8478264e-01,1.8336363e+00,-2.0342934e-04,5.7294951e-03,2.7245486e-02,2.7842144e-02
177,2.5400000e+00,3.8478264e-01,1.7410303e+00,-2.6084664e-03,4.4246679e-03,2.8790299e-02,2.9244881e-02
178,2.5400000e+00,3.8478264e-01,1.6484243e+00,-4.8195352e-03,3.4829089e-03,2.8623326e-02,2.9234456e-02
179,2.5400000e+00,3.8478264e-01,1.5558182e+00,-6.5147988e-03,2.6893218e-03,3.0039715e-02,3.0855462e-02
180,2.5400000e+00,3.8478264e-01,1.4632121e+00,-7.4406029e-03,1.3026048e-03,3.1676676e-02,3.2564875e-02
181,2.5400000e+00,3.8478264e-01,1.3706061e+00,-8.2470924e-03,2.2532784e-04,3.1642187e-02,3.2700051e-02
182,2.5400000e+00,3.8478264e-01,1.2780000e+00,-9.2285583e-03,-5.6935230e-04,3.2538623e-02,3.3826798e-02
183,2.5400000e+00,3.8478264e-01,1.1853939e+00,-1.0121783e-02,-1.5730340e-03,3.4778323e-02,3.6255438e-02
184,2.5400000e+00,3.8478264e-01,1.0927879e+00,-1.1694272e-02,-3.9172256e-03,3.4268431e-02,3.6420133e-02
185,2.5400000e+00,3.8478264e-01,1.0001818e+00,-1.3345801e-02,-5.3930809e-03,3.2373659e-02,3.5429500e-02
186,2.5400000e+00,3.8478264e-01,9.0757573e-01,-1.5190048e-02,-6.5778485e-03,3.0317485e-02,3.4542084e-02
187,2.5400000e+00,3.8478264e-01,8.1496978e-01,-1.7009849e-02,-8.0591850e-03,2.6763884e-02,3.2719884e-02
188,2.5400000e+00,3.8478264e-01,7.2236371e-01,-1.8977072e-02,-9.5413672e-03,2.2904260e-02,3.1237351e-02
189,2.5400000e+00,3.8478264e-01,6.2975764e-01,-2.1607433e-02,-1.1523741e-02,1.6859129e-02,2.9730590e-02
190,2.5400000e+00,3.8478264e-01,5.3715158e-01,-2.5490697e-02,-1.2226042e-02,1.1180973e-02,3.0401742e-02
191,2.5400000e+00,3.8478264e-01,4.4454551e-01,-2.2038268e-02,-1.1599344e-02,8.8926861e-03,2.6444469e-02
192,2.5400000e+00,3.8478264e-01,3.5193944e-01,-1.8525492e-02,-9.5538367e-03,6.7506693e-03,2.1909842e-02
193,2.5400000e+00,3.8478264e-01,2.5933337e-01,2.2158371e-03,-3.2793295e-03,-1.5311416e-03,4.2436221e-03
194,2.5400000e+00,3.8478264e-01,1.6672730e-01,3.0059362e-02,1.9107668e-02,-1.3878461e-02,3.8226690e-02
195,2.5400000e+00,3.8478264e-01,7.4121237e-02,6.3367620e-02,6.1885733e-02,-3.1167969e-02,9.3897507e-02
196,2.5400000e+00,3.8478264e-01,-1.8484831e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
197,2.5400000e+00,3.8478264e-01,-1.1109090e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
198,2.5400000e+00,3.8478264e-01,-2.0369697e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
199,2.5400000e+00,4.7608694e-01,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
200,2.5400000e+00,4.7608694e-01,2.6670909e+00,1.5555042e-03,8.2921162e-03,3.2807882e-03,9.0522012e-03
201,2.5400000e+00,4.7608694e-01,2.5744848e+00,-6.4231898e-04,1.0292815e-02,3.0346564e-03,1.0750058e-02
202,2.5400000e+00,4.7608694e-01,2.4818788e+00,2.2170944e-03,8.7488079e-03,1.1402494e-03,9.0971049e-03
203,2.5400000e+00,4.7608694e-01,2.3892727e+00,5.0728736e-03,8.2031796e-03,1.8698510e-03,9.8245889e-03
204,2.5400000e+00,4.7608694e-01,2.2966666e+00,6.7484858e-03,8.5021490e-03,4.8163659e-03,1.1875436e-02
205,2.5400000e+00,4.7608694e-01,2.2040606e+00,7.3292260e-03,8.6718379e-03,8.0934362e-03,1.3943530e-02
